# Job started on: Thu Oct  8 20:28:14 CEST 2020 ....
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct  8 20:28:52 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 99.5
# etamin = -2.8
# etamax = 2.8
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass
  72.5000 2.5853e+03 2.2962e+03 2.8905e+03 2.2973e+03 2.8895e+03 2.5599e+03 2.6102e+03
  73.5000 2.4092e+03 2.1413e+03 2.6914e+03 2.1423e+03 2.6905e+03 2.3859e+03 2.4322e+03
  74.5000 2.2471e+03 1.9984e+03 2.5082e+03 1.9993e+03 2.5074e+03 2.2255e+03 2.2682e+03
  75.5000 2.0975e+03 1.8665e+03 2.3394e+03 1.8674e+03 2.3386e+03 2.0777e+03 2.1171e+03
  76.5000 1.9595e+03 1.7447e+03 2.1837e+03 1.7455e+03 2.1830e+03 1.9412e+03 1.9776e+03
  77.5000 1.8319e+03 1.6320e+03 2.0399e+03 1.6328e+03 2.0393e+03 1.8150e+03 1.8486e+03
  78.5000 1.7139e+03 1.5277e+03 1.9071e+03 1.5284e+03 1.9065e+03 1.6982e+03 1.7293e+03
  79.5000 1.6046e+03 1.4311e+03 1.7842e+03 1.4317e+03 1.7837e+03 1.5900e+03 1.6189e+03
  80.5000 1.5033e+03 1.3415e+03 1.6705e+03 1.3420e+03 1.6700e+03 1.4898e+03 1.5166e+03
  81.5000 1.4094e+03 1.2583e+03 1.5651e+03 1.2588e+03 1.5646e+03 1.3969e+03 1.4217e+03
  82.5000 1.3222e+03 1.1811e+03 1.4674e+03 1.1816e+03 1.4669e+03 1.3106e+03 1.3337e+03
  83.5000 1.2413e+03 1.1093e+03 1.3767e+03 1.1098e+03 1.3763e+03 1.2305e+03 1.2520e+03
  84.5000 1.1660e+03 1.0426e+03 1.2925e+03 1.0430e+03 1.2921e+03 1.1559e+03 1.1760e+03
  85.5000 1.0960e+03 9.8045e+02 1.2142e+03 9.8084e+02 1.2138e+03 1.0866e+03 1.1053e+03
  86.5000 1.0308e+03 9.2260e+02 1.1414e+03 9.2296e+02 1.1410e+03 1.0221e+03 1.0395e+03
  87.5000 9.7015e+02 8.6868e+02 1.0736e+03 8.6901e+02 1.0733e+03 9.6198e+02 9.7823e+02
  88.5000 9.1358e+02 8.1840e+02 1.0105e+03 8.1870e+02 1.0102e+03 9.0593e+02 9.2112e+02
  89.5000 8.6080e+02 7.7147e+02 9.5159e+02 7.7176e+02 9.5131e+02 8.5365e+02 8.6786e+02
  90.5000 8.1154e+02 7.2765e+02 8.9667e+02 7.2792e+02 8.9641e+02 8.0485e+02 8.1814e+02
  91.5000 7.6553e+02 6.8671e+02 8.4540e+02 6.8696e+02 8.4516e+02 7.5927e+02 7.7172e+02
  92.5000 7.2253e+02 6.4843e+02 7.9751e+02 6.4866e+02 7.9729e+02 7.1666e+02 7.2833e+02
  93.5000 6.8232e+02 6.1262e+02 7.5274e+02 6.1283e+02 7.5253e+02 6.7682e+02 6.8776e+02
  94.5000 6.4468e+02 5.7907e+02 7.1087e+02 5.7928e+02 7.1067e+02 6.3952e+02 6.4978e+02
  95.5000 6.0943e+02 5.4764e+02 6.7168e+02 5.4783e+02 6.7149e+02 6.0458e+02 6.1423e+02
  96.5000 5.7640e+02 5.1816e+02 6.3497e+02 5.1834e+02 6.3480e+02 5.7184e+02 5.8090e+02
  97.5000 5.4542e+02 4.9050e+02 6.0058e+02 4.9067e+02 6.0042e+02 5.4114e+02 5.4966e+02
  98.5000 5.1636e+02 4.6454e+02 5.6834e+02 4.6470e+02 5.6818e+02 5.1233e+02 5.2035e+02
  99.5000 4.8908e+02 4.4016e+02 5.3809e+02 4.4031e+02 5.3794e+02 4.8529e+02 4.9284e+02
  
