# Job started on: Thu Oct  8 20:24:11 CEST 2020 ................
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct  8 20:26:45 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 99.5
# etamin = -9.95
# etamax = 9.95
# Uncertainties from scales, masses combined quadratically
# cross section is ds/deta (pb)
# eta       central      min       max       min_sc     max_sc     min_mass   max_mass
   0.4500 4.3410e+07 2.7058e+07 6.2270e+07 2.8080e+07 6.0990e+07 3.7720e+07 5.0240e+07
   0.5500 4.4090e+07 2.7438e+07 6.3257e+07 2.8470e+07 6.1960e+07 3.8320e+07 5.1020e+07
   0.6500 4.4850e+07 2.7876e+07 6.4373e+07 2.8920e+07 6.3060e+07 3.8990e+07 5.1890e+07
   0.7500 4.5670e+07 2.8346e+07 6.5560e+07 2.9400e+07 6.4230e+07 3.9720e+07 5.2820e+07
   0.8500 4.6530e+07 2.8821e+07 6.6808e+07 2.9890e+07 6.5460e+07 4.0470e+07 5.3800e+07
   0.9500 4.7390e+07 2.9299e+07 6.8056e+07 3.0380e+07 6.6690e+07 4.1230e+07 5.4780e+07
   1.0500 4.8230e+07 2.9770e+07 6.9316e+07 3.0860e+07 6.7910e+07 4.1980e+07 5.5800e+07
   1.1500 4.9040e+07 3.0207e+07 7.0488e+07 3.1310e+07 6.9070e+07 4.2690e+07 5.6710e+07
   1.2500 4.9820e+07 3.0589e+07 7.1543e+07 3.1710e+07 7.0140e+07 4.3350e+07 5.7500e+07
   1.3500 5.0490e+07 3.0953e+07 7.2516e+07 3.2080e+07 7.1100e+07 4.3950e+07 5.8260e+07
   1.4500 5.1040e+07 3.1267e+07 7.3367e+07 3.2390e+07 7.1930e+07 4.4470e+07 5.8920e+07
   1.5500 5.1530e+07 3.1516e+07 7.4140e+07 3.2650e+07 7.2700e+07 4.4890e+07 5.9470e+07
   1.6500 5.1900e+07 3.1697e+07 7.4705e+07 3.2830e+07 7.3260e+07 4.5230e+07 5.9890e+07
